"ncomp";"fold";"df";"aic";"bic";"cbic";"dev"
1;1;12000;5.3783506292269;5.56178093339924;5.4011917635253;4.60223762914206
1;2;12000;5.37984105397443;5.56327135814677;5.40268218827283;4.59854181042399
1;3;12000;5.37562091972079;5.55905122389313;5.39846205401919;4.60355055574368
1;4;12000;5.38045775209649;5.56388805626883;5.40329888639489;4.59510457496488
1;5;12000;5.38149467801466;5.564924982187;5.40433581231305;4.58791492097426
1;6;12000;5.37181951346691;5.55524981763925;5.39466064776531;4.61175356353322
1;7;12000;5.38325010112094;5.56668040529328;5.40609123541933;4.5874973012604
1;8;12000;5.37710677093482;5.56053707510716;5.39994790523322;4.60713179211047
1;9;12000;5.37660787531388;5.56003817948621;5.39944900961227;4.60335784103844
1;10;12000;5.37176353931828;5.55519384349062;5.39460467361668;4.61916911038664
1;11;12000;5.38044591624381;5.56387622041615;5.40328705054221;4.59229792130961
1;12;12000;5.36824497995001;5.55167528412234;5.3910861142484;4.62297662949763
1;13;12000;5.38428598279186;5.5677162869642;5.40712711709026;4.58354961355419
1;14;12000;5.37838031138805;5.56181061556038;5.40122144568644;4.6016267015896
1;15;12000;5.38375859751855;5.56718890169089;5.40659973181694;4.58991658249286
1;16;12000;5.38012342973654;5.56355373390888;5.40296456403493;4.59332760072108
1;17;12000;5.37830979430151;5.56174009847385;5.40115092859991;4.59998967319533
1;18;12000;5.37085287684729;5.55428318101963;5.39369401114569;4.6180991313313
1;19;12000;5.38730351677905;5.57073382095139;5.41014465107745;4.57755602516423
1;20;12000;5.37483521211112;5.55826551628346;5.39767634640951;4.60842084438377
2;1;17500;5.04921805648282;5.31672058340081;5.08252804400131;4.59171827717004
2;2;17500;5.05567058960635;5.32317311652434;5.08898057712484;4.60539356882823
2;3;17500;5.04850102752639;5.31600355444438;5.08181101504489;4.61104932317708
2;4;17500;5.04844729068624;5.31594981760423;5.08175727820473;4.61476583611202
2;5;17500;5.05189761437949;5.31940014129748;5.08520760189799;4.61020413724807
2;6;17500;5.04922617201077;5.31672869892877;5.08253615952927;4.62926830695372
2;7;17500;5.06487570600291;5.33237823292091;5.09818569352141;4.56458909103309
2;8;17500;5.06352006550049;5.33102259241849;5.09683005301899;4.56271956135276
2;9;17500;5.05102784488015;5.31853037179814;5.08433783239864;4.59507495110576
2;10;17500;5.05444121883693;5.32194374575492;5.08775120635543;4.64608334330093
2;11;17500;5.05566217685064;5.32316470376864;5.08897216436914;4.5898873605139
2;12;17500;5.05304949221425;5.32055201913224;5.08635947973274;4.59446138759813
2;13;17500;5.07044631243088;5.33794883934887;5.10375629994938;4.55788248449161
2;14;17500;5.05958936618677;5.32709189310476;5.09289935370527;4.56927534850294
2;15;17500;5.05653959011067;5.32404211702866;5.08984957762916;4.58947380212565
2;16;17500;5.05134960395228;5.31885213087027;5.08465959147077;4.60662755247339
