"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Purity";"Set";"Iter"
"AvaGrad";10.898;0.027;0.0057;0.0143;-0.0283;0.2546;"Full";1
"Fisher";13.279;0.0242;0.0051;0.0096;0.1045;0.5216;"Full";1
"NBWaVE";20.372;0.0228;0.0049;0.0092;0.3817;0.8392;"Full";1
"CMF";33.472;0.0246;0.0053;0.0117;-0.0011;0.4621;"Full";1
"NMF";26.729;0.0248;0.0053;0.0101;-0.0223;0.4974;"Full";1
"NNLM";17.381;0.0232;0.005;0.0075;0.0521;0.6054;"Full";1
"AIRWLS";21.105;0.0228;0.0049;0.0075;0.2465;0.6496;"Full";1
"Newton";11.151;0.0228;0.0049;0.0077;0.2432;0.6471;"Full";1
"C-SGD";10.138;0.0223;0.0048;0.0075;0.2709;0.6842;"Full";1
"B-SGD";5.797;0.0222;0.0048;0.0077;0.2506;0.6689;"Full";1
"AvaGrad";10.898;0.0269;0.1445;0.0139;-0.0283;0.2546;"Train";1
"Fisher";13.279;0.024;0.144;0.0072;0.1045;0.5216;"Train";1
"NBWaVE";20.372;0.0223;0.1437;0.009;0.3817;0.8392;"Train";1
"CMF";33.472;0.0244;0.144;0.0075;-0.0011;0.4621;"Train";1
"NMF";26.729;0.0247;0.1442;0.0086;-0.0223;0.4974;"Train";1
"NNLM";17.381;0.0231;0.1438;0.0069;0.0521;0.6054;"Train";1
"AIRWLS";21.105;0.0226;0.1437;0.006;0.2465;0.6496;"Train";1
"Newton";11.151;0.0226;0.1437;0.006;0.2432;0.6471;"Train";1
"C-SGD";10.138;0.0219;0.1436;0.007;0.2709;0.6842;"Train";1
"B-SGD";5.797;0.0214;0.1436;0.0072;0.2506;0.6689;"Train";1
"AvaGrad";10.898;0.0271;0.4934;0.0153;-0.0283;0.2546;"Test";1
"Fisher";13.279;0.0246;0.493;0.0163;0.1045;0.5216;"Test";1
"NBWaVE";20.372;0.0242;0.493;0.0099;0.3817;0.8392;"Test";1
"CMF";33.472;0.0252;0.4934;0.0235;-0.0011;0.4621;"Test";1
"NMF";26.729;0.0252;0.493;0.0143;-0.0223;0.4974;"Test";1
