"iteration";"model";"dimension";"ncomp";"time";"error";"deviance";"silhouette"
1;"CMF";75;5;212.64;0.0396;0.0195;0.0285
1;"NMF";75;5;NA;NA;NA;NA
1;"NMF+";75;5;152.483;0.039;0.0176;0.0269
1;"AvaGrad";75;5;75.492;0.045;0.0242;-0.0224
1;"Fisher";75;5;152.715;0.0411;0.0194;0.374
1;"NBWaVE";75;5;120.237;0.0394;0.0175;0.4763
1;"AIRWLS";75;5;115.747;0.0382;0.0162;0.492
1;"Newton";75;5;92.046;0.0382;0.0163;0.4797
1;"SGD";75;5;27.533;0.0383;0.0164;0.3746
2;"CMF";75;5;204.064;0.0391;NA;0.0399
2;"NMF";75;5;NA;NA;NA;NA
2;"NMF+";75;5;153.865;0.0386;NA;0.0472
2;"AvaGrad";75;5;754.607;0.0459;0.0249;-0.0116
2;"Fisher";75;5;189.417;0.0416;0.018;0.4199
2;"NBWaVE";75;5;114.671;0.0393;0.017;0.4769
2;"AIRWLS";75;5;149.922;0.038;0.0164;0.4603
2;"Newton";75;5;114.381;0.038;0.0165;0.4781
2;"SGD";75;5;27.618;0.0379;0.0157;0.3467
3;"CMF";75;5;216.058;0.0377;0.0193;0.027
3;"NMF";75;5;NA;NA;NA;NA
3;"NMF+";75;5;153.849;0.0372;0.0178;-0.0049
3;"AvaGrad";75;5;81.881;0.0436;0.0235;-0.0122
3;"Fisher";75;5;109.086;0.0403;0.0198;0.1877
3;"NBWaVE";75;5;116.997;0.0379;0.0182;0.4432
3;"AIRWLS";75;5;97.051;0.0365;0.0171;0.4741
3;"Newton";75;5;77.753;0.0365;0.0172;0.4666
3;"SGD";75;5;27.491;0.0364;0.0169;0.3995
4;"CMF";75;5;204.097;0.0393;0.0196;0.0113
4;"NMF";75;5;NA;NA;NA;NA
4;"NMF+";75;5;145.865;0.0388;0.018;0.0601
4;"AvaGrad";75;5;973.725;0.0434;0.0236;-0.0152
4;"Fisher";75;5;216.317;0.0398;0.0189;0.3074
4;"NBWaVE";75;5;116.722;0.0394;0.018;0.4681
4;"AIRWLS";75;5;114.013;0.0381;0.0168;0.4975
4;"Newton";75;5;102.237;0.038;0.0169;0.4927
4;"SGD";75;5;27.58;0.0381;0.0168;0.4422
5;"CMF";75;5;194.841;0.0363;NA;0.0388
5;"NMF";75;5;NA;NA;NA;NA
5;"NMF+";75;5;153.881;0.0358;NA;-0.0296
5;"AvaGrad";75;5;56.906;0.0431;0.0218;-0.0204
5;"Fisher";75;5;158.046;0.0397;0.0184;0.3269
5;"NBWaVE";75;5;115.633;0.0363;0.0163;0.4963
5;"AIRWLS";75;5;127.296;0.0351;0.0152;0.4171
